"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 19:34:50 BDT 2022","Tue Sep 13 19:34:53 BDT 2022","2657","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _013: Verify user can search train by valid Station name","TC _013: Verify user can search train by valid Station name",""
"passed","Tue Sep 13 19:35:26 BDT 2022","Tue Sep 13 19:35:27 BDT 2022","1005","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _018: Verify User can view train details information when search train by start and stop station name","TC _018: Verify User can view train details information when search train by start and stop station name",""
"passed","Tue Sep 13 19:35:48 BDT 2022","Tue Sep 13 19:35:59 BDT 2022","10928","","Verify Train Ticket Price Feature","","Verify Train Ticket Price Feature","TC _022: Verify user can view Western Region train ticket price","TC _022: Verify user can view Western Region train ticket price",""
"passed","Tue Sep 13 19:36:05 BDT 2022","Tue Sep 13 19:36:11 BDT 2022","6372","","Verify Train Tracking Feature","","Verify Train Tracking Feature","TC _023: Verify user can view train tracking information","TC _023: Verify user can view train tracking information",""
"passed","Tue Sep 13 19:35:35 BDT 2022","Tue Sep 13 19:35:48 BDT 2022","13303","","Verify Train Ticket Price Feature","","Verify Train Ticket Price Feature","TC _021: Verify user can view Eastern Region train ticket price","TC _021: Verify user can view Eastern Region train ticket price",""
"passed","Tue Sep 13 19:34:53 BDT 2022","Tue Sep 13 19:34:55 BDT 2022","2364","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _014: Verify user can view ""অগ্নিবীনা এক্সপ্রেস"" in first position when search entry is empty","TC _014: Verify user can view ""অগ্নিবীনা এক্সপ্রেস"" in first position when search entry is empty",""
"passed","Tue Sep 13 19:36:11 BDT 2022","Tue Sep 13 19:36:30 BDT 2022","19486","","Verify Train Tracking Feature","","Verify Train Tracking Feature","TC _024: Verify user can get train tracking information by searching train by start and stop station name","TC _024: Verify user can get train tracking information by searching train by start and stop station name",""
"passed","Tue Sep 13 19:35:28 BDT 2022","Tue Sep 13 19:35:30 BDT 2022","2509","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _020: Verify User can view train ticket price details information","TC _020: Verify User can view train ticket price details information",""
"passed","Tue Sep 13 19:35:27 BDT 2022","Tue Sep 13 19:35:28 BDT 2022","818","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _019: Verify User can view train stopage station name","TC _019: Verify User can view train stopage station name",""
"passed","Tue Sep 13 19:36:36 BDT 2022","Tue Sep 13 19:36:42 BDT 2022","5996","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _025: Verify user can view the SMS rules to buy ticket using sms","TC _025: Verify user can view the SMS rules to buy ticket using sms",""
"passed","Tue Sep 13 19:35:05 BDT 2022","Tue Sep 13 19:35:26 BDT 2022","20757","","Verify Train Timeline Feature","","Verify Train Timeline Feature","TC _017: Verify User can view train list when search train by start and stop station name","TC _017: Verify User can view train list when search train by start and stop station name",""
"passed","Tue Sep 13 19:34:49 BDT 2022","Tue Sep 13 19:34:50 BDT 2022","1714","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _012: Verify user can't found any station list after searching by invalid Station name","TC _012: Verify user can't found any station list after searching by invalid Station name",""
"passed","Tue Sep 13 19:34:55 BDT 2022","Tue Sep 13 19:34:57 BDT 2022","1715","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _015: Verify user can't found any train list after searching by invalid train name","TC _015: Verify user can't found any train list after searching by invalid train name",""
"passed","Tue Sep 13 19:34:57 BDT 2022","Tue Sep 13 19:35:00 BDT 2022","2657","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _016: Verify user can search train by valid train name","TC _016: Verify user can search train by valid train name",""
"passed","Tue Sep 13 19:36:42 BDT 2022","Tue Sep 13 19:36:44 BDT 2022","2098","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _026: Verify user can cancel buy a train ticket using SMS system","TC _026: Verify user can cancel buy a train ticket using SMS system",""
"passed","Tue Sep 13 19:34:43 BDT 2022","Tue Sep 13 19:34:49 BDT 2022","5302","","Verify Search Station/Train Feature","","Verify Search Station/Train Feature","TC _011: Verify user can view ""আক্কেলপুর স্টেশন"" in first position when search entry is empty","TC _011: Verify user can view ""আক্কেলপুর স্টেশন"" in first position when search entry is empty",""
"broken","Tue Sep 13 19:36:57 BDT 2022","Tue Sep 13 19:37:18 BDT 2022","20982","","Verify Subscribe Feature","","Verify Subscribe Feature","TC _029: Verify User can Subscribe to the application","TC _029: Verify User can Subscribe to the application",""
"passed","Tue Sep 13 19:36:50 BDT 2022","Tue Sep 13 19:36:57 BDT 2022","6642","","Verify Subscribe Feature","","Verify Subscribe Feature","TC _028: Verify empty fields validation message is showing while Subscribe to the application","TC _028: Verify empty fields validation message is showing while Subscribe to the application",""
"passed","Tue Sep 13 19:36:44 BDT 2022","Tue Sep 13 19:36:45 BDT 2022","1680","","Verify Mobile Ticket Feature","","Verify Mobile Ticket Feature","TC _027: Verify user can buy a train ticket using SMS system","TC _027: Verify user can buy a train ticket using SMS system",""
